id,username,Gender,email,Country,Age,Business or personal,days since ac creation,days since last tweet,days since last login,#of Tweets,#of Tweets / day,Facebook member?,Pinterest member?,Instagram member?,use twitter for authorization?,Profile pic?,Profile description?,# Following,# of Followers,Mobile
570,cortizfm,F,apetersonft@wikia.com,Jamaica,22,personal,610,7,0,621,1,1,0,0,1,1,1,640,372,1
996,rholmes8g,F,llynchrn@accuweather.com,China,23,personal,180,2,0,339,2,1,0,0,1,1,1,366,114,1
817,jcunninghamoe,F,hgarrettmo@google.com.hk,Slovenia,18,personal,1713,29,24,1870,1,1,0,1,1,0,1,1799,428,1
238,cwilsonhk,M,srose6l@phpbb.com,Namibia,30,personal,2140,5,0,3668,2,1,1,1,1,1,0,2204,920,1
244,rcampbell4q,M,wwheeler6r@disqus.com,China,29,business,454,4,4,651,1,1,0,1,1,0,1,476,286,1
49,levans3o,M,bnichols1c@theglobeandmail.com,China,22,personal,332,25,8,803,3,1,0,1,1,0,0,335,80,1
861,gcarrollap,M,bburkenw@rediff.com,France,29,business,239,26,9,363,2,1,0,0,1,1,1,251,67,1
86,gcruza8,F,abell2d@nsw.gov.au,France,24,personal,2154,1,0,2261,1,1,0,1,1,1,1,6484,539,1
298,kalexandermj,M,cburke89@cbc.ca,Russia,26,personal,2133,17,6,2521,1,1,0,1,1,1,0,6419,533,1
691,rchapmanjs,M,jfranklinj6@reverbnation.com,Philippines,25,personal,1669,4,0,4999,3,1,0,0,0,1,1,5058,384,1
158,swagnerrk,F,dromero4d@istockphoto.com,Yemen,21,personal,703,12,7,1902,3,1,1,1,1,1,0,1414,176,1
881,lmorganri,F,rwagnerog@hubpages.com,Vietnam,26,personal,461,25,18,1106,3,1,0,1,1,1,1,1392,300,1
479,eevans61,M,fgrahamda@nbcnews.com,China,23,personal,705,9,1,1949,3,1,0,1,1,1,1,2143,458,1
943,bwallacegd,F,jbowmanq6@sakura.ne.jp,Lesotho,18,personal,367,19,10,965,3,1,0,0,1,1,0,1118,231,1
103,pweaverow,F,astone2u@guardian.co.uk,Sweden,30,business,865,1,0,2079,2,1,0,1,1,0,1,2604,588,0
120,bleej6,M,jgilbert3b@home.pl,Philippines,26,personal,777,8,1,1149,1,1,0,1,1,0,1,808,210,1
540,cperrybs,F,jchavezez@weather.com,Guatemala,25,personal,1703,25,22,3148,2,0,1,1,1,1,1,1720,1073,0
257,plarsoncp,M,jwelch74@google.nl,Indonesia,23,personal,938,8,8,1176,1,1,0,1,1,1,0,1905,394,0
640,bthompsonqz,F,jbakerhr@wordpress.com,United States,23,personal,1773,9,7,2313,1,1,0,0,1,1,1,1791,780,1
224,ajacobs9m,M,aspencer67@thetimes.co.uk,Ecuador,19,personal,31,11,10,42,2,1,0,0,1,1,1,63,13,1
12,dscottb5,F,tpowellb@ocn.ne.jp,Greece,26,personal,855,1,0,1472,2,1,0,1,1,1,1,863,205,1
356,dlawsono,F,ahenderson9v@lycos.com,Argentina,23,personal,1235,30,17,1474,1,1,0,1,1,1,1,2531,568,1
608,jhawkins6q,M,smyersgv@feedburner.com,China,24,business,239,25,23,274,1,1,0,1,1,1,1,720,50,1
467,bbaileyhc,M,bfernandezcy@tumblr.com,Mongolia,22,personal,43,25,19,37,2,1,0,1,1,1,0,87,19,1
175,mcookka,M,aharris4u@sakura.ne.jp,Poland,27,business,996,7,1,2151,2,0,0,1,0,1,0,1025,408,1
915,bpowellkw,F,rsimspe@meetup.com,Poland,27,personal,484,13,1,1035,2,1,0,0,0,1,1,992,227,1
